feature,importance
F3912,0.21355754344977623
F3898,0.07098667700854992
F3908,0.07029465647376587
F3811,0.03716059094393798
F1921,0.036991141237045104
F3813,0.0366454063770871
F949,0.032162155479610315
F270,0.02559198921509666
F1597,0.02159239826672217
F1381,0.0191406780796375
F2489,0.019000266767444624
F1827,0.018426085768393184
F3812,0.01794775390929702
F1707,0.017477473895067923
F1490,0.016375554424979517
F2138,0.014913837004994745
F162,0.014115907993773465
F1059,0.013407031021880057
F1923,0.012799041024709553
F1489,0.012575567069260727
F3800,0.012528268206966437
F1927,0.01242611535260073
F1167,0.01225864495889818
F3642,0.01181139889813119
F1274,0.011508543245849436
F1713,0.010698967381875243
F1609,0.010155070609217718
F1814,0.010070764680454229
F1825,0.009384222265418695
F2030,0.009283159710035318
F1497,0.008522198800911996
F1717,0.008091984743586432
F1605,0.00719318040018549
F1063,0.006859754930030342
F2149,0.006141853323070048
F3753,0.005800199886264791
F1281,0.005772256494993958
F1065,0.005496168666244797
F3484,0.004710392613950484
F3748,0.004574962543863672
F1647,0.004253449319472826
F1275,0.003964010193723026
F996,0.0039243225825065925
F1935,0.003741697710492701
F3532,0.0036594206422650016
F2182,0.0036245990542502575
F268,0.0031253681501619236
F1212,0.0029742706138442022
F1755,0.0028175586511679958
F2037,0.002709891088677978
F1863,0.0027026558128650986
F3700,0.0025307711784980733
F2486,0.002389300344018139
F2387,0.0023513046255787804
F1859,0.002340244322538099
F3493,0.0022086760256765036
F1712,0.002145073095751717
F2291,0.0021093567941552443
F2290,0.0020969099320385
F2145,0.0020636634549288124
F314,0.0020332594394293422
F3751,0.00198114170335096
F1861,0.00190555997181982
F2686,0.0018443158676971273
F2484,0.0018125786181101698
F267,0.0018060091731456013
F1213,0.0017797280402822926
F2036,0.0017069784199866742
F159,0.001682784276911068
F934,0.001653416759667333
F1858,0.001629305872450572
F1753,0.0016145496082233008
F265,0.0015544670621235536
F471,0.0015252394021002692
F1535,0.0014683362473848784
F369,0.0012155892850643807
F573,0.0012115574872145426
F2721,0.001192998965020074
F58,0.0011783830896637112
F2937,0.001119249434792097
F1105,0.001103244408357818
F3604,0.001095713021952484
F3706,0.0010844297388105167
F3490,0.0010327025810594544
F469,0.001019564994797859
F2684,0.000998506318855627
F480,0.0009216402557191688
F1918,0.0008849100070572459
F435,0.0008788278591019566
F1818,0.0008199094321057488
F1312,0.000799942047487606
F462,0.0007910318996303636
F2134,0.0006352052263859699
F1210,0.0006166628192076646
F994,0.0005211274259858694
F1205,0.0005090506490815993
F30,0.0004925153617836616
F2829,0.0004793714507825516
F1854,0.00045376596067818036
F1926,0.0002633604800742611
F1221,0.00021395381744932973
F444,8.420227575532609e-05
F501,6.622304275476359e-05
F1391,5.400557018348078e-05
F394,2.561053436373252e-05
F2760,1.6449709044360478e-05
F2975,1.6209857917043223e-05
F37,8.822631538684583e-06
F375,8.079433199861206e-06
F2557,7.105748249744349e-06
F3180,0.0
F3416,0.0
F3166,0.0
F3223,0.0
F3774,0.0
F3330,0.0
F3194,0.0
F3307,0.0
F948,0.0
F3314,0.0
